name,category,attraction_type,region,tourist_area,locality,municipality,tier,popularity,accessibility,open_in_september,best_season,needs_hiking,duration,tickets,photography,confidence,spots_within_25km,spots_within_50km,is_route,lat,lon,maps_url
Tungudalur,Points of Interest,Points of Interest,Westfjords,,,Ísafjarðarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,16,,66.0633125,-23.1837276,"https://www.google.com/maps?q=66.0633125,-23.1837276"
Tálkanfjördur,Points of Interest,Points of Interest,Westfjords,,,Vesturbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,8,,65.626475,-23.829538,"https://www.google.com/maps?q=65.626475,-23.829538"
Valahnúkamöl,Points of Interest,Points of Interest,Reykjanes,,Reykjanesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,19,34,,63.8125011,-22.7156221,"https://www.google.com/maps?q=63.8125011,-22.7156221"
Varmaland,Points of Interest,Points of Interest,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,16,,64.689209,-21.59292,"https://www.google.com/maps?q=64.689209,-21.59292"
Vatnsdalshólar,Points of Interest,Points of Interest,Northwest,,,Húnabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,13,,65.4963458333333,-20.3790361111111,"https://www.google.com/maps?q=65.4963458333333,-20.3790361111111"
Vík,Points of Interest,Points of Interest,South,,,Mýrdalshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,18,,63.4186315,-19.0060479,"https://www.google.com/maps?q=63.4186315,-19.0060479"
Vík Í Myrdal,Points of Interest,Points of Interest,South,,,Mýrdalshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,18,,63.419283,-18.995619,"https://www.google.com/maps?q=63.419283,-18.995619"
Westmann islands,Points of Interest,Points of Interest,South,,Vestmannaeyjabær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,18,,63.4308602,-20.2684021,"https://www.google.com/maps?q=63.4308602,-20.2684021"
Álfaskeid,Points of Interest,Points of Interest,South,,,Hrunamannahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,44,,64.088107,-20.430536,"https://www.google.com/maps?q=64.088107,-20.430536"
Árnes,Points of Interest,Points of Interest,South,,,Skeiða- og Gnúpverjahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,46,,64.041589,-20.250341,"https://www.google.com/maps?q=64.041589,-20.250341"
Ísafjörður,Points of Interest,Points of Interest,Westfjords,,,Ísafjarðarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,16,,66.0613151,-23.1789034,"https://www.google.com/maps?q=66.0613151,-23.1789034"
Ólafsfjarðar,Points of Interest,Points of Interest,Northeast,,,Fjallabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,5,11,,66.071186,-18.648932,"https://www.google.com/maps?q=66.071186,-18.648932"
Ólafsvík,Points of Interest,Points of Interest,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,17,20,,64.8960485,-23.7060262,"https://www.google.com/maps?q=64.8960485,-23.7060262"
Þingeyri,Points of Interest,Points of Interest,Westfjords,,,Ísafjarðarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,18,,65.879855,-23.495464,"https://www.google.com/maps?q=65.879855,-23.495464"
Þorlákshöfn,Points of Interest,Points of Interest,South,,,Sveitarfélagið Ölfus,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,55,,63.852964,-21.384426,"https://www.google.com/maps?q=63.852964,-21.384426"
Þórshöfn,Points of Interest,Points of Interest,Northeast,,,Langanesbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,2,,66.20072,-15.337536,"https://www.google.com/maps?q=66.20072,-15.337536"
Hvalfjörður Tunnel,The Ring Road,The Ring Road,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,20,54,,64.3019473,-21.8631227,"https://www.google.com/maps?q=64.3019473,-21.8631227"
The Ring Road,The Ring Road,The Ring Road,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,,,yes,64.14,-21.9,"https://www.google.com/maps?q=64.14,-21.9"
Golden Circle Route,The Ultimate Golden Circle Route,The Ultimate Golden Circle Route,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,,,yes,64.255,-20.73,"https://www.google.com/maps?q=64.255,-20.73"
ATV adventures near Bláfjöll,Tours and activities,Tours and activities,South,,,Sveitarfélagið Ölfus,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,28,68,,63.9770155,-21.6037562,"https://www.google.com/maps?q=63.9770155,-21.6037562"
ATV adventures near Reykjavík,Tours and activities,Tours and activities,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,25,70,,64.136188,-21.7252174,"https://www.google.com/maps?q=64.136188,-21.7252174"
Buggy Adventures near Reykjavík,Tours and activities,Tours and activities,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,26,70,,64.1347942,-21.7554797,"https://www.google.com/maps?q=64.1347942,-21.7554797"
Cycling near Ísafjörður,Tours and activities,Tours and activities,Westfjords,,,Ísafjarðarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,10,16,,66.054622,-23.1801224,"https://www.google.com/maps?q=66.054622,-23.1801224"
Falljökull Glacier Hike,Tours and activities,Tours and activities,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,7,13,,63.9763889,-16.7700001,"https://www.google.com/maps?q=63.9763889,-16.7700001"
Geothermal dive in North Iceland,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,10,17,,65.7114277,-18.0951691,"https://www.google.com/maps?q=65.7114277,-18.0951691"
Geothermal dive on West Iceland,Tours and activities,Tours and activities,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,26,67,,63.9201714,-21.9829559,"https://www.google.com/maps?q=63.9201714,-21.9829559"
Golden Circle horse riding,Tours and activities,Tours and activities,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,17,41,,64.2451915,-20.400238,"https://www.google.com/maps?q=64.2451915,-20.400238"
Highlands horse riding,Tours and activities,Tours and activities,South,,,Rangárþing ytra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,3,28,,63.9180583,-19.3881226,"https://www.google.com/maps?q=63.9180583,-19.3881226"
Kayaking at Heinagerg glacier lagoon,Tours and activities,Tours and activities,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,3,11,,64.2979511,-15.6702805,"https://www.google.com/maps?q=64.2979511,-15.6702805"
Kayaking at Jökulsárlón glacier lagoon,Tours and activities,Tours and activities,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,4,14,,64.0685966,-16.2204552,"https://www.google.com/maps?q=64.0685966,-16.2204552"
Kayaking near Ísafjörður,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,9,15,,66.0627722,-23.1517982,"https://www.google.com/maps?q=66.0627722,-23.1517982"
Kjölur route horse riding,Tours and activities,Tours and activities,Northwest,,,Húnabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,1,1,,65.0360925,-19.5837446,"https://www.google.com/maps?q=65.0360925,-19.5837446"
Langjökull ice cave,Tours and activities,Tours and activities,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,2,17,,64.655011,-20.2437849,"https://www.google.com/maps?q=64.655011,-20.2437849"
North Iceland horse riding,Tours and activities,Tours and activities,Northwest,,,Skagafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,0,6,,65.5294645,-19.3826294,"https://www.google.com/maps?q=65.5294645,-19.3826294"
Ocean dive,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,5,56,,64.1112018,-22.60849,"https://www.google.com/maps?q=64.1112018,-22.60849"
Puffins around Reykjavík,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,25,68,,64.1756605,-21.9510269,"https://www.google.com/maps?q=64.1756605,-21.9510269"
Puffins in the Westman islands,Tours and activities,Tours and activities,South,,Vestmannaeyjabær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,1,17,,63.4222595,-20.2752686,"https://www.google.com/maps?q=63.4222595,-20.2752686"
Puffins on Ingólfshöfði,Tours and activities,Tours and activities,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,2,12,,63.8,-16.64,"https://www.google.com/maps?q=63.8,-16.64"
Reykjavík horse riding,Tours and activities,Tours and activities,Capital,,Hafnarfjarðarkaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,30,76,,64.0454665,-21.9115448,"https://www.google.com/maps?q=64.0454665,-21.9115448"
River rafting from Drumbo,Tours and activities,Tours and activities,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,18,38,,64.2288728,-20.2858058,"https://www.google.com/maps?q=64.2288728,-20.2858058"
Skaftafell Glacier Hike,Tours and activities,Tours and activities,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,6,15,,64.070414,-16.9751755,"https://www.google.com/maps?q=64.070414,-16.9751755"
Snowmobile on Langjokull - From Gullfoss Cafe,Tours and activities,Tours and activities,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,11,34,,64.325547,-20.129534,"https://www.google.com/maps?q=64.325547,-20.129534"
Snowmobiling on Langjökull glacier,Tours and activities,Tours and activities,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,5,22,,64.6507839,-20.5826515,"https://www.google.com/maps?q=64.6507839,-20.5826515"
Snæfellsnes horse riding,Tours and activities,Tours and activities,West,,Grundarfjarðarbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,10,24,,64.8827619,-23.2388255,"https://www.google.com/maps?q=64.8827619,-23.2388255"
Svínafellsjökull Glacier Hike,Tours and activities,Tours and activities,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,6,13,,64.0185923,-16.8214782,"https://www.google.com/maps?q=64.0185923,-16.8214782"
Sólheimajökull glacier hike,Tours and activities,Tours and activities,South,,,Mýrdalshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,17,28,,63.5569444,-19.3027778,"https://www.google.com/maps?q=63.5569444,-19.3027778"
Vatnajökull crystal ice caves,Tours and activities,Tours and activities,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,1,13,,64.2756153,-16.4739064,"https://www.google.com/maps?q=64.2756153,-16.4739064"
Whales around Reykjavík,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,0,10,,64.3993115,-23.0273437,"https://www.google.com/maps?q=64.3993115,-23.0273437"
Whales around Snæfellsnes,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,0,20,,65.1884871,-23.5100316,"https://www.google.com/maps?q=65.1884871,-23.5100316"
Whales around the Westfjords - Hólmavík,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,3,11,,65.6608416,-21.3227216,"https://www.google.com/maps?q=65.6608416,-21.3227216"
Whales in North Iceland - Dalvík,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,5,10,,66.1232928,-18.4555837,"https://www.google.com/maps?q=66.1232928,-18.4555837"
Whales in North Iceland - Húsavík,Tours and activities,Tours and activities,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,0,2,,66.3691793,-17.5452818,"https://www.google.com/maps?q=66.3691793,-17.5452818"
Aldeyjarfoss,Waterfalls,Waterfalls,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,18,,65.3664613,-17.3369408,"https://www.google.com/maps?q=65.3664613,-17.3369408"
Dynkur in Thjorsa,Waterfalls,Waterfalls,South,,,Skeiða- og Gnúpverjahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,8,,64.3379416666667,-19.1955361111111,"https://www.google.com/maps?q=64.3379416666667,-19.1955361111111"
Fardagafoss,Waterfalls,Waterfalls,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,28,,65.2649172,-14.3808291,"https://www.google.com/maps?q=65.2649172,-14.3808291"
Foss á Sídu,Waterfalls,Waterfalls,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,12,,63.8537014,-17.8720844,"https://www.google.com/maps?q=63.8537014,-17.8720844"
Gilsárfoss,Waterfalls,Waterfalls,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,29,,64.9234144,-13.9649963,"https://www.google.com/maps?q=64.9234144,-13.9649963"
Gljúfrafoss,Waterfalls,Waterfalls,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,28,,63.6212538,-19.988122,"https://www.google.com/maps?q=63.6212538,-19.988122"
Gluggafoss (also called Merkjárfoss),Waterfalls,Waterfalls,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,29,,63.7210255,-19.8937155,"https://www.google.com/maps?q=63.7210255,-19.8937155"
Góðafoss,Waterfalls,Waterfalls,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,6,24,,65.6829947,-17.5508227,"https://www.google.com/maps?q=65.6829947,-17.5508227"
"Hengifoss, Litlanessfoss",Waterfalls,Waterfalls,East,,,Fljótsdalshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,19,,65.095551,-14.8904719,"https://www.google.com/maps?q=65.095551,-14.8904719"
Hjalparfoss,Waterfalls,Waterfalls,South,,,Skeiða- og Gnúpverjahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,6,32,,64.1161693,-19.8512381,"https://www.google.com/maps?q=64.1161693,-19.8512381"
Klifbrekkufossar,Waterfalls,Waterfalls,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,18,31,,65.179462,-14.0812959,"https://www.google.com/maps?q=65.179462,-14.0812959"
Kvarnarhólsárfoss,Waterfalls,Waterfalls,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,28,,63.528779,-19.481304,"https://www.google.com/maps?q=63.528779,-19.481304"
Stjórnarfoss,Waterfalls,Waterfalls,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,9,,63.799752,-18.0613013,"https://www.google.com/maps?q=63.799752,-18.0613013"
Systrafoss,Waterfalls,Waterfalls,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,9,,63.7875323,-18.0595936,"https://www.google.com/maps?q=63.7875323,-18.0595936"
Urridafoss,Waterfalls,Waterfalls,South,,,Flóahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,46,,63.9246142,-20.6721926,"https://www.google.com/maps?q=63.9246142,-20.6721926"
Ófærufoss,Waterfalls,Waterfalls,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,14,,63.9647891666667,-18.6178319444444,"https://www.google.com/maps?q=63.9647891666667,-18.6178319444444"
Öxarárfoss,Waterfalls,Waterfalls,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,69,,64.2659199,-21.1182976,"https://www.google.com/maps?q=64.2659199,-21.1182976"
